sortie,phase_index,start,end,mode,relay_sortie,margin_lower_db,status
T007_SOFT,3,923.8608178597732,1133.8608178597733,relay,R001,1.916287346872787,PASS
T007_SOFT,4,1133.8608178597733,1184.9709761442784,relay,R001,1.916287346872787,PASS
T007_SOFT,5,1184.9709761442784,1280.0,relay,R001,2.133623426216694,PASS
T007_SOFT,5,1280.0,1280.0000999999993,direct,,0.28535534877894264,PASS
T007_SOFT,5,1280.0000999999993,1562.7894457781401,direct,,0.2853583871990999,PASS
T007_SOFT,6,1562.7894457781401,1712.4416357195464,direct,,19.962509130395112,PASS
T008,0,2339.024544021989,2488.3058184360516,direct,,18.320069836068836,PASS
T008,1,2488.3058184360516,2739.024544021989,relay,R004,2.710217075986666,PASS
T008,1,2739.024544021989,2739.111540235256,relay,R004,2.710217075986666,PASS
T008,1,2739.111540235256,2849.0331264695646,relay,R004,2.304250601919559,PASS
T008,2,2849.0331264695646,2938.8506557664396,relay,R004,2.0994676664544194,PASS
T008,3,2938.8506557664396,3178.8506557664396,relay,R004,2.0994676664544194,PASS
T008,4,3178.8506557664396,3253.698596847169,relay,R004,2.0994676664544194,PASS
T008,5,3253.698596847169,3389.024544021989,relay,R004,2.304250601919559,PASS
T008,5,3389.024544021989,3389.0246440219894,direct,,0.2958002779706401,PASS
T008,5,3389.0246440219894,3614.4259048806816,direct,,0.2958040708197789,PASS
T008,6,3614.4259048806816,3793.5634341775567,direct,,18.320069836068832,PASS
T009,0,360.0,440.2384989420573,direct,,24.06911862942026,PASS
T009,1,440.2384989420573,705.3242418113589,direct,,0.8735394127871192,PASS
T009,2,705.3242418113589,709.9998999999993,direct,,0.8735394127871192,PASS
T009,2,709.9998999999993,710.0,direct,,0.8756855547655267,PASS
T009,2,710.0,726.7704405418276,direct,,0.8756855994283477,PASS
T009,3,726.7704405418276,767.9999000000004,direct,,0.882429799933238,PASS
T009,3,767.9999000000004,768.0,direct,,0.882429799933238,PASS
T009,3,768.0,936.7704405418276,direct,,0.882429799933238,PASS
T009,4,936.7704405418276,954.6422728172182,direct,,0.8735394127871192,PASS
T009,5,954.6422728172182,1219.72801568652,direct,,0.8735394127871192,PASS
T009,6,1219.72801568652,1280.0,direct,,24.06911862942026,PASS
T009,6,1280.0,1280.0000999999993,direct,,34.03940602516528,PASS
T009,6,1280.0000999999993,1316.0142144169886,direct,,34.03943703051474,PASS
T010_2,0,1854.4262775174655,1950.7124762479343,direct,,24.06911862942026,PASS
T010_2,1,1950.7124762479343,2162.781070543376,direct,,0.8735394127871192,PASS
T010_2,2,2162.781070543376,2189.5888189564616,direct,,0.873539412787121,PASS
T010_2,3,2189.5888189564616,2513.588818956461,direct,,0.882429799933238,PASS
T010_2,4,2513.588818956461,2535.03501768693,direct,,0.8735394127871192,PASS
T010_2,5,2535.03501768693,2739.111540235256,direct,,0.8735394127871192,PASS
T010_2,5,2739.111540235256,2739.4262775174657,direct,,22.94639535748947,PASS
T010_2,5,2739.4262775174657,2747.103611982371,direct,,23.023463521810257,PASS
T010_2,6,2747.103611982371,2867.4613603954576,direct,,24.06911862942026,PASS
T011,0,390.0,489.796787516276,direct,,22.02154674108874,PASS
T011,1,489.796787516276,709.9998999999993,direct,,0.5357501679297556,PASS
T011,1,709.9998999999993,710.0,direct,,0.5357462514566844,PASS
T011,1,710.0,767.9999000000004,relay,R004,2.710217075986666,PASS
T011,1,767.9999000000004,768.0,relay,R004,2.710217075986666,PASS
T011,1,768.0,983.0260769914634,relay,R004,0.06728601629704478,PASS
T011,2,983.0260769914634,1041.9422220109946,relay,R004,0.05451783094126483,PASS
T011,3,1041.9422220109946,1280.0,relay,R004,0.05451783094126483,PASS
T011,3,1280.0,1280.0000999999993,relay,R004,0.05451783094126483,PASS
T011,3,1280.0000999999993,1281.9422220109946,relay,R004,0.05451783094126483,PASS
T011,4,1281.9422220109946,1331.0390095272705,relay,R004,0.05451783094126483,PASS
T011,5,1331.0390095272705,1824.2682990024578,relay,R004,0.06728601629704478,PASS
T011,6,1824.2682990024578,1944.024444021989,direct,,22.02154674108874,PASS
T012,0,2434.111640235256,2507.5188716805683,direct,,26.674459657897643,PASS
T012,1,2507.5188716805683,2739.111540235256,direct,,0.11955318743434873,PASS
T012,1,2739.111540235256,2739.111640235256,direct,,0.11954944522334365,PASS
T012,1,2739.111640235256,3003.203421567842,relay,R003,5.352620366896746,PASS
T012,2,3003.203421567842,3049.0624608744824,relay,R003,4.282255880880729,PASS
