sortie,phase,phase_index,start,end,mode,margin_lower_db,proof
T013,handoff,3,12947.976473410195,13046.976473410195,relay,0.2680578102325626,obstruction_bound
T013,handoff,3,13046.976473410195,13145.976473410195,relay,0.2680578102325626,obstruction_bound
T013,handoff,3,13145.976473410195,13244.976473410195,relay,0.2680578102325626,obstruction_bound
T013,climb,4,13244.976473410195,13281.663704855508,relay,0.2680578102325626,obstruction_bound
T013,cruise,5,13281.663704855508,13343.624273591417,relay,0.32425933519316175,obstruction_bound
T013,cruise,5,13343.624273591417,13405.584842327326,relay,9.154340728163106,clear_swept_triangle
T013,cruise,5,13405.584842327326,13467.545411063234,relay,7.37159348709649,clear_swept_triangle
T013,cruise,5,13467.545411063234,13529.505979799143,relay,5.212079311070539,clear_swept_triangle
T013,cruise,5,13529.505979799143,13777.348254742781,direct,0.5319038152765074,obstruction_bound
T013,descent,6,13777.348254742781,13869.107294049421,direct,27.67445965789763,obstruction_bound
T014,climb,0,4485.919766504683,4552.1567293953085,direct,26.902754877149746,obstruction_bound
T014,cruise,1,4552.1567293953085,4773.07392971607,direct,3.457866229518814,obstruction_bound
T014,cruise,1,4773.07392971607,4883.532529876451,direct,9.946970695988483,clear_swept_triangle
T014,cruise,1,4883.532529876451,4993.991130036832,relay,2.545383295109687,clear_swept_triangle
T014,descent,2,4993.991130036832,5046.555485505582,relay,2.520195863805455,clear_swept_triangle
T014,handoff,3,5046.555485505582,5151.555485505582,relay,2.520195863805455,clear_swept_triangle
T014,handoff,3,5151.555485505582,5256.555485505582,relay,2.520195863805455,clear_swept_triangle
T014,climb,4,5256.555485505582,5313.49101203553,relay,2.520195863805455,clear_swept_triangle
T014,cruise,5,5313.49101203553,5422.512263912484,relay,0.44176830009502055,clear_swept_triangle
T014,cruise,5,5422.512263912484,5531.533515789437,relay,0.2895657834421854,clear_swept_triangle
T014,descent,6,5531.533515789437,5586.536147625375,relay,0.2895657834421854,clear_swept_triangle
T014,handoff,7,5586.536147625375,5676.536147625375,relay,0.2895657834421854,clear_swept_triangle
T014,handoff,7,5676.536147625375,5766.536147625375,relay,0.2895657834421854,clear_swept_triangle
T014,climb,8,5766.536147625375,5823.18253637863,relay,0.2895657834421854,clear_swept_triangle
T014,cruise,9,5823.18253637863,5903.866408698963,relay,0.2895657834421854,clear_swept_triangle
T014,cruise,9,5903.866408698963,5984.550281019296,relay,0.2895657834421854,obstruction_bound
T014,cruise,9,5984.550281019296,6065.234153339628,relay,1.0629174395356955,clear_swept_triangle
T014,cruise,9,6065.234153339628,6145.918025659962,direct,8.235391079622957,clear_swept_triangle
T014,cruise,9,6145.918025659962,6468.653514941294,direct,0.16706804744731585,obstruction_bound
T014,descent,10,6468.653514941294,6576.8691814451995,direct,23.968262608738186,obstruction_bound
T015,climb,0,4485.919766504683,4565.872722640751,direct,25.102895398396285,obstruction_bound
T015,cruise,1,4565.872722640751,4701.030422368454,direct,5.756268610632418,obstruction_bound
T015,cruise,1,4701.030422368454,4836.188122096159,direct,9.77372465189093,clear_swept_triangle
T015,cruise,1,4836.188122096159,4903.766971960011,relay,4.0929225624624195,clear_swept_triangle
T015,cruise,1,4903.766971960011,4971.345821823862,relay,2.4297294992808673,clear_swept_triangle
T015,cruise,1,4971.345821823862,5038.924671687714,relay,0.9386885476618119,clear_swept_triangle
T015,cruise,1,5038.924671687714,5106.503521551565,relay,0.2895657834421854,clear_swept_triangle
T015,descent,2,5106.503521551565,5145.167068914847,relay,0.2895657834421854,clear_swept_triangle
T015,handoff,3,5145.167068914847,5265.167068914847,relay,0.2895657834421854,clear_swept_triangle
T015,handoff,3,5265.167068914847,5385.167068914847,relay,0.2895657834421854,clear_swept_triangle
T015,climb,4,5385.167068914847,5417.386691717582,relay,0.2895657834421854,clear_swept_triangle
T015,cruise,5,5417.386691717582,5484.965541581434,relay,0.2895657834421854,clear_swept_triangle
T015,cruise,5,5484.965541581434,5552.544391445285,relay,0.9386885476618119,clear_swept_triangle
T015,cruise,5,5552.544391445285,5620.1232413091375,relay,2.4297294992808673,clear_swept_triangle
T015,cruise,5,5620.1232413091375,5687.702091172989,relay,4.0929225624624195,clear_swept_triangle
T015,cruise,5,5687.702091172989,5822.859790900693,direct,9.773724651891754,clear_swept_triangle
T015,cruise,5,5822.859790900693,5958.017490628396,direct,5.756268610632418,obstruction_bound
T015,descent,6,5958.017490628396,6053.961037991678,direct,25.102895398396285,obstruction_bound
T016,climb,0,10618.599475253503,10706.950085605065,direct,24.16061612661366,obstruction_bound
T016,cruise,1,10706.950085605065,10908.979264880056,direct,4.20945790655729,obstruction_bound
T016,cruise,1,10908.979264880056,11009.993854517552,direct,0.7122343239242781,obstruction_bound
T016,cruise,1,11009.993854517552,11111.008444155046,relay,1.278307760056606,clear_swept_triangle
